index,I_float,Q_float
213,-0.372559,0.935547
214,-0.927734,-0.387695
215,-0.390381,0.925781
216,-0.388916,-0.921387
217,0.376221,-0.925293
218,0.919922,-0.383057
219,0.925293,-0.375488
220,0.922852,0.369629
221,0.921387,0.376221
222,-0.381104,0.93457
223,-0.924805,-0.386719
224,-0.398926,-0.928223
225,-0.383301,0.928711
226,0.387451,0.916504
227,-0.924316,-0.38208
228,-0.918457,-0.376221
229,0.373779,0.918945
230,0.924316,-0.393799
231,-0.376709,0.931641
232,0.388916,0.914551
233,0.940918,0.36499
234,0.919922,-0.38916
235,0.912109,-0.38916
236,-0.384033,-0.92627
237,0.366943,0.913086
238,0.92041,-0.377441
239,0.375488,0.930176
240,-0.410645,-0.962891
241,-0.385254,0.922852
242,0.928223,-0.391602
243,-0.912598,0.392822
244,0.915527,0.38501
245,-0.928223,0.377441
246,-0.376709,0.925781
247,-0.380127,0.913574
248,0.39209,-0.922363
249,0.395752,0.935059
250,-0.388428,0.935547
251,0.911621,0.389893
252,-0.379883,-0.915527
253,0.910645,-0.380859
254,-0.382568,-0.920898
255,0.931641,-0.385254
256,0.382812,0.918457
257,0.388428,-0.929688
258,-0.92041,-0.388184
259,0.924805,0.395996
260,0.924316,-0.386719
261,-0.933105,0.382324
262,0.92041,-0.381104
263,0.935547,-0.386475
264,-0.924316,-0.389648
265,-0.386963,-0.941406
266,-0.931152,-0.391602
267,0.919434,-0.384521
268,-0.918945,-0.386719
269,-0.382324,-0.930664
270,-0.922363,0.37915
271,0.389404,-0.92041
272,0.348877,0.952148
273,0.913086,-0.380615
274,0.378906,0.92041
275,-0.389893,-0.927734
276,-0.383545,0.920898
277,0.916992,0.375732
278,0.387451,0.917969
279,0.386475,-0.933594
280,0.928711,-0.383545
281,0.938477,0.382812
282,-0.933105,0.393066
283,-0.382568,0.912598
284,-0.919434,0.391846
285,-0.387451,-0.908203
286,0.35791,-0.916504
287,0.924805,-0.376709
288,-0.387695,0.918945
289,-0.391602,-0.933105
290,-0.383057,-0.908691
291,-0.93457,0.373291
292,0.912109,-0.386963
293,-0.927734,0.383301
294,0.386719,0.913086
295,0.933594,-0.390869
296,0.922852,-0.369385
297,-0.910645,0.384277
298,-0.929199,-0.386719
299,0.930176,-0.393555
300,0.385986,-0.903809
301,-0.392578,-0.919434
302,-0.913574,0.367432
303,-0.918945,-0.38623
304,-0.962891,-0.377441
305,-0.917969,-0.386719
306,0.37793,-0.916016
307,-0.917969,0.399902
308,0.916992,0.387207
